"treatment","leaf_number","image_number","x","y","area","reject","surface","stomata_number","angle","length","light","density"
"COL-0",2,"ab-4",484.75,396.5,NA,FALSE,"abaxial",16,-37.117,23.2,"Medium Light",26
"COL-0",2,"ab-4",493,279.25,NA,FALSE,"abaxial",17,-52.431,24.602,"Medium Light",26
"COL-0",2,"ab-4",499,175,NA,FALSE,"abaxial",18,-59.421,25.554,"Medium Light",26
"COL-0",2,"ab-4",54.75,205.5,NA,TRUE,"abaxial",3,-8.326,20.718,"Medium Light",26
"COL-0",2,"ab-4",57,296.75,NA,TRUE,"abaxial",5,15.154,24.865,"Medium Light",26
"COL-0",2,"ab-4",91,0,NA,TRUE,"abaxial",1,0,NA,"Medium Light",26
"COL-0",2,"ad-1",132,328.5,21812.0289372979,FALSE,"adaxial",11,80.134,23.345,"Medium Light",23
"COL-0",2,"ad-1",160,46,NA,TRUE,"adaxial",4,26.565,22.361,"Medium Light",23
"COL-0",2,"ad-1",193.5,64.5,NA,TRUE,"adaxial",5,51.71,24.207,"Medium Light",23
"COL-0",2,"ad-1",22,184.5,NA,FALSE,"adaxial",2,-46.736,23.345,"Medium Light",23
"COL-0",2,"ad-1",245.5,205.5,10060.9103129446,FALSE,"adaxial",7,48.576,22.672,"Medium Light",23
"COL-0",2,"ad-1",248.5,299.5,7951.48353964388,FALSE,"adaxial",9,31.759,24.698,"Medium Light",23
"COL-0",2,"ad-1",251.5,481,NA,TRUE,"adaxial",22,-65.376,26.401,"Medium Light",23
"COL-0",2,"ad-1",259.5,161.5,10424.7262598433,FALSE,"adaxial",6,-81.87,21.213,"Medium Light",23
"COL-0",2,"ad-1",274.5,263.5,8506.15558900099,FALSE,"adaxial",8,82.569,23.195,"Medium Light",23
"COL-0",2,"ad-1",289,324,7209.6325916193,FALSE,"adaxial",12,29.055,20.591,"Medium Light",23
"COL-0",2,"ad-1",3,312,NA,FALSE,"adaxial",10,85.236,24.083,"Medium Light",23
"COL-0",2,"ad-1",346,343,10925.2211703615,FALSE,"adaxial",17,81.254,26.306,"Medium Light",23
"COL-0",2,"ad-1",360,113.5,16516.2653683412,FALSE,"adaxial",13,-80.134,23.345,"Medium Light",23
"COL-0",2,"ad-1",393.5,42.5,NA,TRUE,"adaxial",14,-60.524,26.42,"Medium Light",23
"COL-0",2,"ad-1",400.5,479.5,NA,TRUE,"adaxial",20,45,24.042,"Medium Light",23
"COL-0",2,"ad-1",404.5,360,12885.8169989901,FALSE,"adaxial",18,87.797,26.019,"Medium Light",23
"COL-0",2,"ad-1",469,493.5,NA,TRUE,"adaxial",19,-85.03,23.087,"Medium Light",23
"COL-0",2,"ad-1",491.5,91.5,NA,FALSE,"adaxial",15,-38.29,24.207,"Medium Light",23
"COL-0",2,"ad-1",500,151,NA,FALSE,"adaxial",16,-16.699,20.881,"Medium Light",23
"COL-0",2,"ad-1",510.5,343.5,NA,FALSE,"adaxial",21,-45,NA,"Medium Light",23
"COL-0",2,"ad-1",55,197,10755.5432242621,FALSE,"adaxial",3,0,18,"Medium Light",23
"COL-0",2,"ad-1",60.5,509,NA,TRUE,"adaxial",23,-63.435,NA,"Medium Light",23
"COL-0",2,"ad-1",64,125,NA,FALSE,"adaxial",1,30.964,23.324,"Medium Light",23
"COL-0",2,"ad-2",105.75,396.75,NA,TRUE,"adaxial",16,-45,24.749,"Medium Light",17
"COL-0",2,"ad-2",120.5,68,NA,FALSE,"adaxial",2,59.036,23.324,"Medium Light",17
"COL-0",2,"ad-2",167.25,221,22009.957687886,FALSE,"adaxial",4,-26.003,22.809,"Medium Light",17
"COL-0",2,"ad-2",196.5,43.5,NA,TRUE,"adaxial",3,-73.74,25,"Medium Light",17
"COL-0",2,"ad-2",221,385,13497.9650516858,FALSE,"adaxial",17,70.821,24.352,"Medium Light",17
"COL-0",2,"ad-2",24.25,424,NA,TRUE,"adaxial",15,23.962,24.622,"Medium Light",17
"COL-0",2,"ad-2",264.25,115.75,16964.9497173654,FALSE,"adaxial",6,-6.633,21.645,"Medium Light",17
"COL-0",2,"ad-2",271.25,349,19966.6231290723,FALSE,"adaxial",12,47.49,24.418,"Medium Light",17
"COL-0",2,"ad-2",298,468.5,NA,TRUE,"adaxial",13,38.29,24.207,"Medium Light",17
"COL-0",2,"ad-2",375.25,97.25,NA,TRUE,"adaxial",7,-69.905,21.829,"Medium Light",17
"COL-0",2,"ad-2",389.75,168.75,NA,TRUE,"adaxial",8,28.142,24.382,"Medium Light",17
"COL-0",2,"ad-2",40.25,328.75,NA,TRUE,"adaxial",14,48.468,23.377,"Medium Light",17
"COL-0",2,"ad-2",454.5,26.75,NA,TRUE,"adaxial",9,45.83,24.398,"Medium Light",17
"COL-0",2,"ad-2",458.25,418.5,NA,FALSE,"adaxial",11,53.673,21.101,"Medium Light",17
"COL-0",2,"ad-2",468.75,317.25,NA,TRUE,"adaxial",10,43.091,21.225,"Medium Light",17
"COL-0",2,"ad-2",49.75,148.75,NA,FALSE,"adaxial",1,67.109,24.423,"Medium Light",17
"COL-0",2,"ad-2",5.75,237.5,NA,TRUE,"adaxial",5,0,NA,"Medium Light",17
"COL-0",2,"ad-3",11.25,347.5,NA,TRUE,"adaxial",7,-5.856,19.602,"Medium Light",21
"COL-0",2,"ad-3",121.5,69.25,NA,TRUE,"adaxial",2,-66.038,24.622,"Medium Light",21
"COL-0",2,"ad-3",134,348.75,13935.6525523807,FALSE,"adaxial",10,90,25.5,"Medium Light",21
"COL-0",2,"ad-3",189.75,493.75,NA,TRUE,"adaxial",11,22.521,22.192,"Medium Light",21
"COL-0",2,"ad-3",227.75,227.25,21041.1653834523,FALSE,"adaxial",6,-11.31,22.946,"Medium Light",21
"COL-0",2,"ad-3",243.5,126.25,15156.7191300397,FALSE,"adaxial",5,82.057,21.708,"Medium Light",21
"COL-0",2,"ad-3",279,422.25,NA,TRUE,"adaxial",12,37.349,23.901,"Medium Light",21
"COL-0",2,"ad-3",328.25,127,15187.8234453195,FALSE,"adaxial",19,40.855,24.459,"Medium Light",21
"COL-0",2,"ad-3",344.75,0.75,NA,TRUE,"adaxial",21,-45,NA,"Medium Light",21
"COL-0",2,"ad-3",370,221.25,14087.7424495149,FALSE,"adaxial",17,54.324,24.005,"Medium Light",21
"COL-0",2,"ad-3",4,210.75,NA,TRUE,"adaxial",3,62.784,19.679,"Medium Light",21
"COL-0",2,"ad-3",423.75,299.25,14319.8634611256,FALSE,"adaxial",15,-6.953,20.652,"Medium Light",21
"COL-0",2,"ad-3",431.75,463.25,NA,TRUE,"adaxial",13,85.365,18.561,"Medium Light",21
"COL-0",2,"ad-3",46,238.25,NA,TRUE,"adaxial",4,-28.926,21.708,"Medium Light",21
"COL-0",2,"ad-3",476,219.5,NA,TRUE,"adaxial",18,-57.095,20.248,"Medium Light",21
"COL-0",2,"ad-3",499,476.5,NA,TRUE,"adaxial",14,40.601,18.439,"Medium Light",21
"COL-0",2,"ad-3",507,191.75,NA,TRUE,"adaxial",20,26.565,NA,"Medium Light",21
"COL-0",2,"ad-3",509.5,332,NA,TRUE,"adaxial",16,0,NA,"Medium Light",21
"COL-0",2,"ad-3",57,329.25,5101.19672738892,FALSE,"adaxial",8,87.455,22.522,"Medium Light",21
"COL-0",2,"ad-3",95,31.25,NA,TRUE,"adaxial",1,66.615,20.156,"Medium Light",21
"COL-0",2,"ad-3",97,355,9285.87317033691,FALSE,"adaxial",9,64.537,23.259,"Medium Light",21
"COL-0",2,"ad-4",109.25,312.25,7276.31293858948,FALSE,"adaxial",23,-81.158,22.771,"Medium Light",23
"COL-0",2,"ad-4",121.5,215,NA,TRUE,"adaxial",5,-39.806,23.431,"Medium Light",23
"COL-0",2,"ad-4",126,157,8105.14927654182,FALSE,"adaxial",3,83.157,25.179,"Medium Light",23
"COL-0",2,"ad-4",163,312.75,11269.7541340428,FALSE,"adaxial",19,-66.038,24.622,"Medium Light",23
"COL-0",2,"ad-4",193.5,166.25,10180.7209699301,FALSE,"adaxial",4,27.824,20.353,"Medium Light",23
"COL-0",2,"ad-4",247.75,380,NA,TRUE,"adaxial",18,-2.545,22.522,"Medium Light",23
"COL-0",2,"ad-4",251,22.5,NA,FALSE,"adaxial",6,-73.301,20.881,"Medium Light",23
"COL-0",2,"ad-4",263,198.5,9776.15434659599,FALSE,"adaxial",9,-53.13,25,"Medium Light",23
"COL-0",2,"ad-4",27,105.25,NA,TRUE,"adaxial",1,-25.408,22.142,"Medium Light",23
"COL-0",2,"ad-4",30.75,456.75,NA,TRUE,"adaxial",21,48.468,23.377,"Medium Light",23
